foodname,calories,protein,fat,carbs,salt
Käsesauce von Bechamelsauce,122,4.86,9.2,4.75,0.692
Hefepudding,335,7.6,12.6,46.0,0.332
"Quarkklöße mit Süßkirschkompott, Zucker und Zimt",146,6.01,3.92,21.0,0.16
"Rotzunge paniert, gebraten",173,15.58,9.0,6.61,0.705
Johannisbeernektarschorle,27,0.215,0.0,6.404,0.01
Kalbslungenhaschee sauer mit Sauce,95,9.41,4.8,3.23,0.59
Münchner Weißwurst gebraten ohne Fett (Pfanne),297,12.198,27.515,0.09,1.998
Püree von Artischockenböden,181,2.63,15.4,3.27,0.898
Grünkernsuppe geröstet,35,1.04,1.6,3.6,0.705
"Gemüsemischung asiatische Art, tiefgefroren, gebacken",34,2.4,0.4,4.0,0.018
"Seezunge gebraten in Butter, mit Kaisergemüse und Salzkartoffeln",81,8.16,2.3,6.23,0.385
"Zanderfilet paniert, gebraten",185,19.3,8.7,6.61,0.5
"Kalbslende gedünstet, mit Sauce",155,19.8,7.5,1.9,1.0
"Aprikose mit Süßungsmitteln, Konserve, abgetropft",23,0.7,0.113,3.623,0.02
Eierteigwaren mit Gorgonzolasauce,166,6.6,7.9,16.73,0.715
"Speiseeis (Frucht, Schokolade, Vanille) gemischt, in Waffeltüte",197,2.47,7.61,28.6,0.068
"Wirsing-Eintopf mit Kartoffeln, Karotten und Speck",63,2.85,2.7,6.0,0.8
"Schwein/Rind, Hackfleisch gemischt, gekocht",370,28.54,28.38,0.0,0.188
"Schweineroulade geschmort, mit Grundsauce dunkel/braun",144,16.0,7.3,3.1,0.8
"Grüne-Bohnen-Eintopf mit Gemüsebrühe, Kartoffeln, Birne und Speck",78,1.6,4.6,7.0,0.628
"Wirsing-Eintopf mit Rindfleisch, Kartoffeln und Karotten",65,5.7,1.7,6.0,0.308
Schinkenknödel,180,9.77,6.49,19.91,1.348
"Fleischkäse grob, gebraten ohne Fett (Ofen)",229,21.89,15.69,0.12,2.0
"Sojabohne unreif (Edamame) Konserve, abgetropft",94,8.6,4.4,3.5,0.522
Ochsenschwanzsuppe gebunden,114,7.8,7.2,3.0,0.322
"Aprikose in Fruchtsaft, Konserve, abgetropft",36,0.8,0.148,6.7,0.005
"Ananas in Fruchtsaft, Konserve, abgetropft",41,0.7,0.1,8.1,0.008
Joghurt-Sahnesauce mit Kräutern für Salat,92,3.16,6.7,3.8,0.4
Ossobuco alla milanese (Kalbsbeinscheiben geschmort),131,18.52,5.5,0.8,0.54
"Kürbis gesäuert, abgetropft",112,1.042,0.123,24.22,0.438
Bratkartoffel-Fischpfanne mit Kabeljaufilet,185,10.5,9.5,13.52,0.515
"Rind Hackfleisch, tiefgefroren, gegrillt",303,26.197,22.009,0.0,0.175
"Mungbohnensprossen/Mungbohnenkeimlinge, Konserve, abgetropft",22,2.182,0.202,2.4,0.445
Laugenbrezel mit Butter,403,7.014,24.936,36.0,2.068
Weißes Bohnenpüree,161,7.962,5.0,16.0,0.135
Apfelkompott mit Weißwein und Sultaninen,67,0.4,0.3,13.6,0.005
"Gemüsemischung asiatische Art, tiefgefroren, gebraten ohne Fett (Pfanne)",42,3.0,0.4,5.0,0.022
"Kasseler Rücken gebraten im Ofen, mit Grundsauce dunkel/braun",118,11.97,6.4,2.97,1.2
"Hähnchenschenkel gekocht, in Currysauce",124,10.86,8.2,1.77,0.442
Vollmilchschokolade gefüllt mit Nugat/Nougat/Noisette,539,6.94,32.9,52.5,0.14
"Ananas mit Süßungsmitteln, Konserve, abgetropft",24,0.5,0.1,4.4,0.028
"Kalbsroulade gebraten, mit Grundsauce dunkel/braun",156,12.12,10.3,3.23,1.132
"Rhabarber ungesüßt, Konserve, abgetropft",9,0.314,0.072,0.629,0.005
Grießbrei (als Dessert) mit Erdbeersauce roh,102,3.14,3.0,15.02,0.075
"Rinderzunge gekocht, mit Rosinensauce",157,10.8,10.6,4.2,0.325
Rindsbratwurst gegrillt,251,12.982,22.174,0.0,1.952
"Seezungenfilet gedünstet, in Tomatensauce (aus Tomatenmark)",102,13.1,5.0,0.9,0.62
"Eier-Frischteigwaren, grün, mit Gorgonzolasauce",189,7.9,11.2,13.5,0.93
Berner Würstchen,259,13.6,22.6,0.15,2.5
Maultaschen mit Spinatfüllung gegart,96,4.4,2.53,13.0,0.37
"Senfgurke gesäuert, abgetropft",44,1.052,0.198,7.97,1.218
Carbonara Sauce,279,20.47,21.66,0.3,2.0
"Wachsbohne gesäuert, abgetropft",41,1.6,0.2,6.5,1.19
"Pfifferling Konserve, abgetropft",24,2.083,0.69,0.643,0.412
"Linsengemüse gekocht, mit Suppengrün und Speck",81,5.35,1.8,9.0,0.2
"Gemüsemischung Kaisergemüse, tiefgefroren, gebraten ohne Fett (Pfanne)",53,3.446,0.637,6.5,0.068
Tiroler/Tiroler Schinkenwurst,106,18.28,3.54,0.11,2.0
Kalbfleischkäse gebraten ohne Fett (Ofen),362,14.95,33.54,0.13,2.075
Karottensalat (roh) mit Saure-Sahne-Dressing,64,1.5,3.0,6.2,0.42
"Speiseeis (Frucht, Nuss, Vanille) gemischt",187,2.02,7.7,26.5,0.065
"Kartoffeltaschen mit Frischkäsefüllung, tiefgefroren, gebraten ohne Fett (Pfanne)",301,4.31,15.92,34.0,1.85
Coleslaw (Weißkrautsalat amerikanisch) mit Saure-Sahne-Dressing,54,1.72,2.4,4.9,0.32
"Schokobuttercreme gestreckt, für Gebäck/Torten",350,2.94,29.3,17.9,0.092
"Schweinelebergeschnetzeltes mit Apfel, Zwiebeln und Grundsauce dunkel/braun",109,9.37,4.8,6.6,0.472
"Jagdwurst/Schinkenwurst grob, geschmort ohne Fett",209,15.461,16.299,0.08,1.8
Lachs gedämpft mit Joghurt-Dip mit Rosmarin,125,10.62,8.1,1.7,0.32
"Rotbarsch paniert, gebraten",192,15.5,11.1,6.61,0.625
Leberrolle,237,17.0,18.56,0.52,1.8
Tartufo di Pizzo (mit Nuss- und Schokoladeneis),231,4.4,10.6,29.0,0.085
"Alaska-Pollack/Alaska-Seelachs, in Öl, Präserve, abgetropft",274,9.9,26.01,0.0,5.208
Joghurtsahnetorte (Biskuit und Mürbeteig),261,4.7,15.5,25.1,0.102
"Grüne-Bohnen-Eintopf mit Gemüsebrühe, Kartoffeln und Hammelfleisch",82,3.8,4.5,6.0,0.428
Apfelkompott mit Rosinen und Mandeln,73,1.2,2.0,11.2,0.005
"Schwertfisch gebraten, mit gedünstetem Paprika-Tomaten- und Gurkengemüse",86,10.31,3.6,2.3,0.95
"Kartoffelkroketten tiefgefroren, frittiert",320,5.12,21.91,24.16,1.2
"Grüne-Bohnen-Eintopf mit Gemüsebrühe, Kartoffeln, Rindfleisch und Speck",94,4.7,5.4,6.0,0.635
Erdbeer-Sahneschnitten (Blätterteig),289,2.69,22.8,17.08,0.19
Rinderbraten mit Sauce,138,16.0,7.2,1.6,0.582
"Johannisbeere rot, gezuckert, Konserve, abgetropft",67,0.729,0.106,14.58,0.005
"Speiseeis (Frucht, Kaffee, Schoko, Vanille) gemischt",182,2.7,7.5,25.0,0.075
Fleischbrühe mit Leberspätzle/Leberreis,63,4.13,1.5,7.88,0.552
Ragout fin mit Rotbarsch,106,10.8,6.3,1.1,0.658
Traubentorte (Sandmasse) mit Vanillecreme und Klarguss,176,2.4,7.73,23.2,0.082
Norddeutsche Kochmettwurst,195,15.07,14.92,0.12,2.0
"Kartoffeln gekocht, mit gebratenem Hähnchenfleisch und Kräutersauce von Bechamelsauce",97,8.83,2.2,10.18,0.162
Rührei gebraten mit Käse und Kochschinken,220,16.4,16.88,0.42,0.978
"Eier-Frischteigwaren Ravioli, mit Hackfleischfüllung, in Tomatensauce von heller/weißer Grundsauce",114,5.5,4.1,13.0,0.552
"Kalbskeule geschmort, mit Sahnesauce von dunkler/brauner Grundsauce",105,13.7,4.1,2.7,0.8
"Kabeljau gebraten, mit gedünstetem Paprika-Tomatengemüse",66,7.9,1.6,4.2,0.63
Vanillecremeeis mit Schlagsahne und frischen Erdbeeren,151,2.3,11.43,8.97,0.055
"Kalbszunge gekocht, mit Weißweinsauce von heller/weißer Grundsauce und saurer Sahne",114,9.89,7.4,1.4,0.5
"Milchreis mit Milch 3,5 % Fett und Aprikosenkompott",116,3.7,2.34,19.7,0.078
Preiselbeer-Stracciatella-Sahne-Kranz (Brandmasse),302,5.1,18.6,27.7,0.132
Kartoffelgemüse mit Kräutersauce von heller/weißer Grundsauce,79,1.56,3.0,10.7,0.29
"Kasseler Rippenspeer gekocht, mit Sauerkraut",58,5.59,2.42,1.45,1.0
Leberwürste erwärmt,356,16.83,31.744,0.59,1.968
Gemüsecremesuppe,63,1.17,4.5,4.08,0.45
"Seelachsfilet paniert, gebraten",181,17.3,9.4,6.09,0.53
"Tomatensuppe aus Tomatenmark, Gemüsebrühe und Teigwaren eifrei",51,1.1,2.6,5.6,0.688
Vollkorn-Eier-Frischteigwaren mit gedünstetem Kaisergemüse,95,4.19,2.9,11.47,0.305
Weiße-Bohnen-Eintopf mit Speck,88,4.4,3.5,8.0,0.8
Sauce Bearnaise/Bearner Sauce,212,2.9,21.1,1.03,0.382
"Speiseeis (Frucht, Karamell) gemischt, in Waffeltüte",178,2.7,5.82,28.1,0.052
"Zucchini gesäuert, abgetropft",34,1.1,0.3,5.5,1.188
"Artischocke in Öl, Konserve, abgetropft",254,2.559,22.823,3.02,1.35
Quarkklöße gefüllt mit Aprikosen,133,5.6,3.53,18.4,0.148
Gemischter Salat mit Sahne-Dressing,42,1.7,2.2,2.8,0.4
"Fischstäbchen (Alaska-Seelachs) paniert, tiefgefroren, gebraten ohne Fett (Pfanne)",209,13.908,9.437,16.5,0.718
Couscous mit Butter,209,4.888,7.773,28.48,0.162
"Mehrfruchtnektar mit Süßungsmitteln, angereichert mit Vitaminen (Multivitaminnektar)",22,0.2,0.0,5.36,0.008
Fish and Chips (mit Rotbarsch),221,10.7,11.6,17.7,0.698
Rote-Bete-Salat (gegart) mit Zitronenmarinade,109,1.67,8.2,5.88,0.448
"Zuckermais gesäuert, abgetropft",67,2.563,0.962,10.1,1.19
"Rindfleisch gekocht, mit Rotweinsauce",124,14.74,5.9,2.41,0.378
"Kartoffeltaschen mit Frischkäsefüllung, tiefgefroren, gebacken",282,4.03,14.88,32.0,1.73
Pudding-Plunder,321,6.4,16.48,36.0,0.6
"Vanillepudding, Flammeri, zubereitet aus Pulver und Milch 3,5 % Fett, mit Süßstoff",88,3.65,3.56,10.19,0.18
"Bismarckhering Präserve, abgetropft",225,16.5,16.0,2.68,2.725
Kartoffelklöße von gekochten Kartoffeln,137,3.8,2.62,23.4,0.438
Gurkensalat mit Saure-Sahne-Dressing,41,1.53,2.3,2.9,0.3
"Süßkirsche mit Süßungsmitteln, Konserve, abgetropft",33,0.7,0.251,6.35,0.025
Tomate Konserve,19,1.15,0.2,2.536,0.215
"Kartoffel-Rosenkohlpüree mit Milch 3,5 % Fett",80,2.65,2.55,10.76,0.25
"Schlemmerfilet Bordelaise (Alaska-Seelachs) tiefgefroren, gebraten ohne Fett (Ofen)",132,9.6,7.6,6.12,0.935
"Schaumeierkuchen (Omelette souffle) gebraten, gefüllt mit Konfitüre",250,8.4,13.3,23.8,0.235
"Hummer gegart, in Currysauce von heller/weißer Grundsauce",87,10.07,4.1,1.37,0.95
"Reissalat mit Gemüse, Früchten, Curry und Zitronenmarinade",88,1.9,2.4,13.8,0.04
"Ananas ungesüßt, Konserve, abgetropft",24,0.5,0.1,4.4,0.008
Grießbrei (als Dessert) mit Kirschsauce,102,3.11,2.4,16.44,0.072
"Süßkirsche gezuckert, Konserve, abgetropft",67,0.7,0.251,15.01,0.002
"Fischfrikadelle (Alaska-Seelachs) paniert, tiefgefroren, gebraten ohne Fett (Pfanne)",129,9.8,1.73,17.9,1.08
"Feige gezuckert, Konserve, abgetropft",68,0.996,0.399,14.3,0.005
Pilzsauce von heller/weißer Grundsauce,72,1.7,5.2,3.77,0.56
Sahne-Eclairs (Brandmasse),293,6.44,21.31,18.39,0.175
"Schupfnudeln eifrei, gekocht",154,4.36,0.46,32.01,1.485
"Heidelbeere mit Süßungsmitteln, Konserve, abgetropft",20,0.3,0.318,2.61,0.02
"Bratwurst mittelgrob, gebraten ohne Fett (Pfanne)",349,18.62,30.4,0.1,2.177
"Kartoffel-Speck-Rösti tiefgefroren, gebraten ohne Fett (Pfanne)",292,6.28,13.97,34.0,1.688
Wurstsülze,170,11.3,13.7,0.12,1.8
"Schweinekotelett gedünstet, mit Grundsauce dunkel/braun",218,18.43,14.8,2.4,0.52
"Speiseeis (Frucht, Schokolade) gemischt, in Waffeltüte",198,2.51,6.53,31.0,0.052
"Rind/Schwein, Hackfleisch gemischt, gebraten ohne Fett (Ofen)",338,27.5,25.28,0.0,0.192
Senfsauce von dunkler/brauner Grundsauce,75,1.32,5.1,5.52,0.795
"Kalbsroulade geschmort, mit Rotweinsauce von dunkler/brauner Grundsauce",142,15.55,7.2,3.43,0.73
Muschelsauce von heller/weißer Grundsauce,65,5.79,3.7,2.1,0.95
"Litschi gezuckert, Konserve, abgetropft",68,0.65,0.239,15.3,0.005
"Grießklößchen getrocknet, gekocht, gebraten ohne Fett (Pfanne)",141,7.25,5.76,14.6,0.22
"Schweineherz gespickt, gedünstet, mit Sahnesauce von dunkler/brauner Grundsauce",187,14.9,12.6,3.1,0.982
"Sellerie gekocht, mit Sahne",31,1.43,0.8,2.5,0.45
Schaschlik mit Pommes frites und Tomatenketchup,175,12.29,8.47,11.49,0.8
"Mischpilze tiefgefroren, gebraten ohne Fett (Pfanne)",70,7.2,0.7,4.44,0.025
Weingelee mit Ananas,79,1.2,0.0,15.75,0.01
Schweinebraten mit Grundsauce dunkel/braun,185,17.2,11.7,2.2,0.545
"Schweinezunge gekocht, mit Weißweinsauce von heller/weißer Grundsauce",134,11.07,8.9,1.59,0.412
"Kohlrabi Konserve, abgetropft",18,1.34,0.111,2.27,0.548
"Suppengrün/Suppenkraut, tiefgefroren, gekocht",31,2.019,0.314,3.2,0.105
Wildbretpastete mit Hirschfleisch,126,16.19,6.73,0.08,1.8
"Böhmische Knödel gekocht, gebraten ohne Fett (Pfanne)",240,8.69,8.76,30.53,0.922
Currywurst mit Curryketchup,202,8.77,14.66,8.16,2.0502
Nuss-Sahnetorte (Biskuit),335,6.4,26.1,18.0,0.102
"Linsen-Eintopf mit Suppengemüse, Kartoffeln und Wiener Würstchen",149,7.81,6.0,13.4,0.785
Linsen-Eintopf mit Speck,147,8.52,4.8,14.4,1.0
"Kartoffel-Speck-Rösti tiefgefroren, gebacken",323,6.93,16.25,36.0,1.925
Debreziner Würstchen Konserve,192,15.25,14.6,0.0,2.0
"Fleischkäse grob, gekocht",172,16.94,11.53,0.09,1.2
Fischstäbchen (mit Alaska-Seelachs) gebraten,255,13.121,15.409,15.57,0.678
"Mischpilze Konserve, abgetropft",42,4.3,0.3,2.45,0.72
Weiße-Bohnen-Suppe mit Speck,76,4.01,3.0,6.7,0.8
"Hamburger Pannfisch, mit Rotbarsch",181,8.4,11.59,9.79,0.8
Kartoffelkroketten,246,5.95,12.08,26.88,0.29
"Kartoffelsuppe mit Gemüsebrühe, gebunden",62,1.11,1.8,10.0,0.455
"Eierfrikassee mit Blumenkohl und Spargel in Grundsauce hell/weiß, dazu Risotto",89,4.96,4.4,7.2,0.458
"Rind Hackfleisch, tiefgefroren, gekocht",299,28.653,20.488,0.0,0.132
"Mokkabuttercreme gestreckt, für Gebäck/Torten",304,2.7,25.7,15.1,0.105
"Himbeere ungesüßt, Konserve, abgetropft",14,0.5,0.151,1.3,0.0042
Rindsbratwurst gebraten ohne Fett (Pfanne),214,11.228,18.78,0.0,1.808
"Okra Konserve, abgetropft",13,1.2,0.1,0.6,0.532
"Seelachs im Backteig, tiefgefroren, gebraten ohne Fett (Pfanne)",277,15.85,13.54,22.09,1.012
"Gemüsemischung Leipziger Allerlei, Konserve, abgetropft",44,2.639,0.385,5.75,0.545
"Linse reif, Konserve, abgetropft",119,9.036,0.7,15.4,0.6228
"Rind Hackfleisch, tiefgefroren, gebraten ohne Fett (Pfanne)",303,26.577,21.853,0.0,0.148
"Karamellflammeri/Karamellpudding, mit Vanillesauce",141,3.9,4.57,21.05,0.112
"Tomate getrocknet, in Öl, Konserve, abgetropft",293,6.487,16.316,23.33,3.305
"Gemüsemischung Kaisergemüse, tiefgefroren, gedünstet",39,2.537,0.469,4.8,0.05
"Gemüsemischung asiatische Art, tiefgefroren, geschmort ohne Fett",31,2.2,0.3,3.8,0.018
"Gemüsemischung Erbsen-Karotten, tiefgefroren, gekocht",60,3.3,0.426,8.631,0.025
"Broccoli gedünstet, mit gerösteten Semmelbröseln",100,4.06,6.31,5.1,0.262
"Kalbsherz gefüllt, gedünstet, mit Sahnesauce von dunkler/brauner Grundsauce",177,13.4,11.1,5.5,1.045
"Speiseeis (Frucht, Karamell, Vanille) gemischt",170,2.3,6.36,25.2,0.068
"Grießflammeri/Grießpudding, mit Ei und Mandeln",136,5.8,6.31,13.53,0.135
"Sardine in Öl, Konserve, abgetropft",222,24.1,13.9,0.0,0.915
"Europäische Auster in Öl, Konserve, abgetropft",87,8.865,5.02,1.508,0.705
Leberkäse gebraten ohne Fett (Ofen),293,13.626,26.421,0.2,1.498
"Kartoffel-Karottenpüree mit Milch 3,5 % Fett",82,2.15,2.62,11.7,0.262
Mehrfruchtsaftschorle angereichert mit Vitaminen (Multivitaminsaftschorle),22,0.2,0.0,5.3,0.006
"Papaya gezuckert, Konserve, abgetropft",58,0.5,0.079,13.2,0.02
"Fischfrikadelle (Alaska-Seelachs) paniert, tiefgefroren, gebraten ohne Fett (Ofen)",142,10.9,1.93,19.5,1.202
"Birne gezuckert, Konserve, abgetropft",84,0.475,0.176,19.48,0.022
"Rind/Schwein, Hackfleisch gemischt, gekocht",349,29.11,25.88,0.0,0.195
"Weintraube weiß, ungesüßt, Konserve, abgetropft",22,0.384,0.114,4.53,0.005
"Alaska-Seelachs paniert, tiefgefroren, gebraten ohne Fett (Ofen)",163,11.4,5.54,16.21,1.105
"Silberzwiebel gesäuert, abgetropft",45,0.974,0.124,8.51,1.198
"Dicke Bohne unreif, Konserve, abgetropft",51,4.4,0.6,4.3,0.548
"Schweineleberschnitten gedünstet, mit Sahnesauce von dunkler/brauner Grundsauce",180,15.32,11.5,3.2,0.425
"Grießflammeri/Grießpudding, mit Ei und Kirschsauce",116,4.4,3.9,15.47,0.12
"Kartoffelrösti tiefgefroren, gebraten ohne Fett (Pfanne)",276,3.261,10.815,40.2,1.308
Vollkorn-Eier-Frischteigwaren mit Mandelpesto,205,8.64,11.92,14.0,0.412
Cordon bleu vom Hähnchen gebraten,215,20.7,10.8,8.11,0.66
Bananenkompott mit Süßstoff,68,1.139,0.4,13.47,0.02
"Mischpilze tiefgefroren, gebacken",60,6.1,0.6,3.76,0.02
"Mehrkornschrot gekocht, gebraten ohne Fett (Pfanne)",65,2.19,0.6,11.3,0.002
"Schweineschulter gekocht, mit Kräutersauce von heller/weißer Grundsauce",128,14.12,7.1,1.86,0.952
"Alaska-Seelachs paniert, tiefgefroren, gebraten ohne Fett (Pfanne)",179,12.6,6.09,17.8,1.212
"Stachelbeere ungesüßt, Konserve, abgetropft",24,0.658,0.118,3.937,0.005
Marzipan-Plunder,520,8.24,32.1,48.0,0.598
Karottensalat (roh) mit Zitronenmarinade,130,0.68,11.2,5.05,0.225
Gemüsesuppe mit Kartoffeln und Rindfleisch,42,3.5,1.8,2.5,0.542
"Preiselbeere gezuckert, Konserve, abgetropft",164,0.733,0.448,38.326,0.005
Quarkauflauf mit Fruchtsauce,124,3.5,4.6,16.6,0.075
"Brombeere ungesüßt, Konserve, abgetropft",16,0.66,0.1,2.7,0.005
Milchschokolade gefüllt mit Nugat/Nougat/Noisette,527,7.2,30.9,53.5,0.14
"Pfälzer Bratwurst gebraten, in Grundsauce dunkel/braun",194,8.85,16.8,1.87,1.58
"Erbse grün, Konserve, abgetropft",61,4.985,0.485,6.628,0.288
Backfisch-Brötchen mit Kabeljau,228,12.1,11.6,17.7,0.702
"Mandarine mit Süßungsmitteln, Konserve, abgetropft",28,0.858,0.269,4.609,0.028
Weiße-Bohnen-Suppe mit Karotten,59,2.78,1.1,7.9,0.372
"Makrele gedünstet, pikante Art",205,18.2,14.1,0.9,0.39
Rote Grütze mit Süßstoff,63,1.1,0.3,11.5,0.015
"Kichererbse reif, Konserve, abgetropft",136,7.5,2.7,15.5,0.562
Schaschlik mit Brötchen und Tomatenketchup,172,15.2,7.3,10.68,1.0
"Pfannkuchen/Eierkuchen, mit Milch 3,5 % Fett und Rosinen, gebraten",268,7.8,11.0,33.4,0.198
Quark-Plunder,398,9.63,20.24,43.0,0.78
"Hecht gedünstet, mit Weißweinsauce von heller/weißer Grundsauce und saurer Sahne",110,11.3,6.1,1.9,0.45
"Erdbeere mit Süßungsmitteln, Konserve, abgetropft",17,0.551,0.28,2.116,0.022
"Cornichons gesäuert, abgetropft",33,0.925,0.175,5.58,1.19
"Mandarine ungesüßt, Konserve, abgetropft",28,0.858,0.269,4.609,0.008
"Stachelbeere mit Süßungsmitteln, Konserve, abgetropft",24,0.658,0.118,3.937,0.02
"Schwarzwurzel Konserve, abgetropft",38,1.062,0.327,4.6,0.53
Sahneflammeri/Sahnepudding (als Dessert) mit Kirschsauce,212,3.2,13.1,20.04,0.115
"Mayonnaise, gestreckt mit süßer Sahne",514,2.2,55.2,1.92,0.67
"Karotte/Möhre, gesäuert, abgetropft",50,0.463,0.463,8.655,1.338
"Edelkrebs/Flusskrebs, Konserve, abgetropft",78,18.0,0.638,0.0,0.89
"Fruchtmischung/Fruchtcocktail, mit Süßungsmitteln, Konserve, abgetropft",34,0.5,0.3,6.4,0.022
"Kalb Haxe, tiefgefroren, geschmort ohne Fett",140,24.189,4.811,0.0,0.23
"Kidneybohne reif, Konserve, abgetropft",128,8.5,1.0,15.1,0.6228
Sachertorte (Rührmasse),352,5.9,17.6,41.0,0.16
"Bratmakrele Konserve, abgetropft",144,13.8,6.68,5.91,1.285
"Mirabelle mit Süßungsmitteln, Konserve, abgetropft",35,0.594,0.17,7.266,0.02
Gnocchi tiefgefroren,160,4.084,0.642,33.58,0.685
"Reisauflauf gesüßt, mit Apfel",144,4.19,4.16,21.9,0.108
"Sardelle in Öl, Konserve, abgetropft",170,16.896,11.4,0.0,12.378
"Steinpilz Konserve, abgetropft",57,6.442,0.471,3.69,0.722
"Gemüsemischung Erbsen-Karotten, tiefgefroren, gebraten ohne Fett (Pfanne)",93,5.1,0.657,13.312,0.04
"Bohne grün, gesäuert, abgetropft",47,1.787,0.255,7.01,1.19
Tiramisu (ohne Ei) mit Likör und Früchten,209,3.7,11.3,21.0,0.132
"Bohne grün, Konserve, abgetropft",21,1.662,0.138,2.1,0.67
"Rhabarber gezuckert, Konserve, abgetropft",74,0.314,0.072,16.793,0.005
"Berliner/Pfannkuchen/Krapfen (Hefeteig) frittiert, gefüllt mit Nuss-Nougat-Creme",392,7.6,20.1,43.7,0.41
"Erdbeere ungesüßt, Konserve, abgetropft",12,0.394,0.2,1.511,0.005
"Mango gezuckert, Konserve, abgetropft",65,0.5,0.395,14.0,0.012
"Hühnerherzen geschmort, in Weißweinsauce von heller/weißer Grundsauce",131,7.6,9.8,2.21,0.605
"Gemüsemischung Kaisergemüse, tiefgefroren, gekocht",30,1.96,0.363,3.8,0.035
Buttercremetorte (Schokobiskuit) mit Canacheüberzug,314,6.1,17.79,31.5,0.132
Seelachs-Risotto,145,9.16,4.3,17.0,0.475
"Kalb Haxe, tiefgefroren, gegrillt",140,23.16,5.299,0.0,0.305
"Apfelkaltschale/Apfelsuppe, mit Korinthen",56,0.3,0.3,12.1,0.005
"Vanillepudding, Flammeri, zubereitet aus Pulver und Milch 1,5 % Fett, mit Früchten",90,2.28,1.0,17.3,0.095
"Eier-Frischteigwaren Ravioli, vegetarisch gefüllt, mit gekochtem Gemüse in Grundsauce hell/weiß",92,4.6,3.3,10.2,0.438
"Eier-Frischteigwaren gekocht, gebacken",196,8.25,2.6,33.69,0.345
"Speiseeis (Frucht, Schoko) gemischt",181,1.96,5.31,29.9,0.048
"Kalbskäsebrät mit Schweinefleisch, gebraten ohne Fett (Ofen)",288,14.4,25.5,0.11,2.292
"Kartoffeltaschen mit Frischkäsefüllung tiefgefroren, frittiert",366,3.93,24.68,31.0,1.69
"Augenbohne reif, Konserve, abgetropft",114,8.5,0.47,16.074,0.63
"Eier-Frischteigwaren gekocht, gebraten ohne Fett (Pfanne)",176,7.41,2.34,30.25,0.308
"Schwein/Rind, Hackfleisch gemischt, gegrillt",351,26.07,27.37,0.0,0.18
"Rind/Schwein, Hacksteak, gegrillt",292,21.98,21.94,1.37,2.2
"Garnele paniert, tiefgefroren, gebraten ohne Fett (Pfanne)",360,16.38,20.05,27.56,1.425
Münchner Weißwurst gargezogen,258,10.905,23.789,0.07,1.72
"Gemüsemischung mexikanische Art, gekocht",58,3.3,0.5,7.7,0.005
Haschee mit Rinderhackfleisch von dunkler/brauner Grundsauce,144,8.2,9.9,5.0,0.462
"Kartoffelpuffer tiefgefroren, frittiert",214,5.0,4.03,37.97,1.15
"Gemüsemischung mexikanische Art, geschmort ohne Fett",70,3.9,0.6,9.3,0.005
Rharbarbergrütze mit Vanillesauce,102,1.7,1.67,18.84,0.035
Speckpfannkuchen gebraten,275,10.21,14.61,24.8,1.2
"Mirabelle ungesüßt, Konserve, abgetropft",35,0.594,0.17,7.266,0.0028
"Alaska-Seelachs im Backteig, tiefgefroren, gebraten ohne Fett (Pfanne)",250,11.2,12.59,22.26,0.3
"Jagdwurst/Schinkenwurst grob, gekocht",191,14.988,14.51,0.08,1.8
Petersilienkartoffeln,76,2.03,0.104,15.623,0.011
"Rind Hackfleisch, tiefgefroren, geschmort ohne Fett",297,28.056,20.488,0.0,0.135
Apfel-Bananen-Birnenmus roh,66,0.658,0.4,13.8,0.002
"Karotten/Möhren, gekocht, gebraten",104,1.193,5.811,9.401,0.45
"Hähnchenbrustfilet gebraten, mit gedünstetem Kaisergemüse",98,13.94,3.3,2.5,0.338
Hasenbraten mit Grundsauce dunkel/braun und saurer Sahne,132,19.56,5.2,1.6,0.5
"Birne mit Süßungsmitteln, Konserve, abgetropft",35,0.301,0.303,7.01,0.025
"Rind Hackfleisch, tiefgefroren, gebraten ohne Fett (Ofen)",281,26.968,19.282,0.0,0.15
"Schwein/Rind, Hackfleisch gemischt, tiefgefroren",250,18.43,19.55,0.0,0.138
"Grünkohl gedünstet, mit westfälischer Mettwurst",141,6.56,10.64,2.7,0.8
"Brathering Konserve, abgetropft",222,16.8,14.0,5.91,1.462
"Kalbfleischkäse mit Schweinefleisch, gebraten ohne Fett (Pfanne)",348,13.81,32.46,0.12,1.982
"Gemüsemischung mexikanische Art, gebraten ohne Fett (Pfanne)",87,4.9,0.7,11.6,0.008
Mandelcreme (Bayerische Creme mit Mandelkrokant),290,7.0,22.3,14.6,0.118
"Pflaume ungesüßt, Konserve, abgetropft",22,0.24,0.141,4.52,0.0038
"Palmenherz Konserve, abgetropft",23,2.2,0.1,2.74,0.54
"Teigwaren eifrei, gebraten mit Ei, Paprika und Hähnchenfleisch",148,11.8,4.43,14.59,0.215
Gemischter Salat mit Saure-Sahne-Dressing,44,1.9,2.2,3.3,0.48
"Scholle gedünstet, mit Weißweinsauce von heller/weißer Grundsauce",82,10.4,3.5,1.55,0.538
Cordon bleu vom Kalb gebraten,207,19.2,10.8,7.63,0.802
"Fleischkäse grob, gebraten ohne Fett (Pfanne)",218,20.22,15.19,0.11,2.0
"Alaska-Seelachs im Backteig, tiefgefroren, gebraten ohne Fett (Ofen)",228,10.2,11.47,20.29,0.272
"Brombeere gezuckert, Konserve, abgetropft",68,0.66,0.1,15.7,0.005
