foodname,calories,protein,fat,carbs,salt
Mandeldrink ungesüßt,24,0.87,2.159,0.2,0.12751099
"Dessert/Puddingalternative, pflanzlich",89,2.32,3.78,10.85,0.065
Soja-Joghurtalternative ungesüßt,44,4.17,2.67,0.33,0.0852
Sojakochcreme,157,2.2,15.7,1.4,0.132
Miso/Sojabohnenpaste,174,10.6,10.5,6.2,10.75
"Sonnenblumenkernaufstrich, Brotaufstrich pflanzlich",308,4.15,27.75,7.84,1.1238
Vegetarische Bratwurst (aus Tofu und Weizenprotein),195,18.38,9.79,5.31,1.713
Veganes Schnitzel,297,15.6,18.55,13.57,1.7825
Veganer Aufschnitt (Wurstalternative),195,16.8,11.25,4.67,2.47
"Vegetarischer Aufschnitt (Wurstalternative, mit Ei)",179,7.88,13.41,2.5,2.275
"Kartoffel geschält, roh",83,1.94,0.1,17.9,0.0085
"Kartoffelchips/Stapelchips, diverse Sorten",526,5.5,34.3,45.88,1.59
"Maniok/Cassava, roh",146,1.0,0.23,33.5,0.002
"Batate/Süßkartoffel, roh",119,1.63,0.6,25.2,0.01
"Topinambur/Erdartischocke, roh",55,2.44,0.41,4.0,0.0
Yamswurzel roh,123,2.0,0.13,25.7,0.025
Champignon roh,28,3.66,0.274,2.9,0.10332
Morchel roh,29,2.488,0.32,0.6,0.005
Pfifferling roh,26,3.91,0.271,0.551,0.008
Shiitakepilz roh,30,2.5,0.2,2.38,0.0025
Austernpilz roh,32,3.31,0.22,1.27,0.015
"Vegetarische Pastete, Brotaufstrich hefebasiert",229,4.95,18.15,7.9,1.1475
"Milch fettarm, frisch, 1,5 % Fett, pasteurisiert",44,3.49,1.54,3.86,0.088
"Vollmilch frisch, 3,5 % Fett, pasteurisiert",62,3.55,3.49,4.03,0.0872
"Rohmilch/Vorzugsmilch, mind. 3,5 % Fett",67,3.262,3.78,4.716,0.12
"H-Milch fettarm, 1,5 % Fett, ultrahocherhitzt",44,3.16,1.45,4.21,0.0928
"H-Vollmilch 3,5 % Fett, ultrahocherhitzt",62,3.18,3.49,4.19,0.0895
"Joghurt mild, mind. 3,5 % Fett",67,3.98,3.46,4.13,0.1
Schlagsahne mind. 36 % Fett,363,2.2,38.0,3.0,0.08
"Kondensmagermilch max. 1 % Fett, gezuckert",269,10.0,0.2,56.7,0.45
"Kondensmilch mind. 8 % Fett, gezuckert",322,7.91,8.7,52.9,0.28
Kondensmilch 10 % Fett,195,7.63,10.19,17.9,0.3162
